Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil,Referências
Pool Nation Extreme/FX,Cherry Pop Games,Cherry Pop Games,Não,2014,2014,Não definido,Não definido,[53]
Primal Carnage: Genesis,First-person shooter,Não definido,Console,Não definido,Não definido,Não definido,Não definido,[193]
Project CARS,Slightly Mad Studios,Slightly Mad Studios,Não,2015,2015,2015,2015,[194]
Project CARS 2,Slightly Mad Studios,Slightly Mad Studios,Não,2017,2017,2017,2017,Não definido
Project: Heart and Soul,Reach Game Studios,Não definido,Console,Não definido,Não definido,Não definido,Não definido,[195]
Project Phoenix,Creative Intelligence Arts,Creative Intelligence Arts,Console,2014,2014,2014,2014,[196]
Pure Pool,VooFoo Studios,VooFoo Studios,Não,Não definido,Não definido,Não definido,Não definido,[197]
Putty Squad,System 3,System 3,Não,2013,Não definido,2014,2014,[198]
QuickDraw,Greenfly Studios,Greenfly Studios,Console,Não definido,Não definido,2014,2014,[199]
Race the Sun,Flippfly,Flippfly,Console,2014,2014,2014,2014,[200]
Rayman Legends,Ubisoft Montpellier,Ubisoft,Não,2014,Não definido,2014,2014,[201]
Ray's the Dead,Ragtag Studios,Ragtag Studios,Console,Não definido,Não definido,Não definido,Não definido,[202]
R.B.I. Baseball 14,Behaviour Interactive,MLB Advanced Media,Não,Não definido,Não definido,2014,2014,Não definido
R.B.I. Baseball 15,HB Studios,MLB Advanced Media,Não,Não definido,Não definido,2015,2015,Não definido
R.B.I. Baseball 16,HB Studios,MLB Advanced Media,Não,2016,Não definido,2016,2016,Não definido
R.B.I. Baseball 17,MLB Advanced Media,MLB Advanced Media,Não,2017,Não definido,2017,2017,Não definido
R.B.I. Baseball 18,MLB Advanced Media,MLB Advanced Media,Não,2018,Não definido,2018,2018,Não definido
R.B.I. Baseball 19,MLB Advanced Media,MLB Advanced Media,Não,2019,Não definido,2019,2019,Não definido
Ready to Run,Beatshapers,Beatshapers,Sim,Não definido,Não definido,2014,2014,[203]
Red Dead Redemption 2,Rockstar Games,Rockstar Games,Não,2018,2018,2018,2018,Não definido
Resident Evil: Revelations 2,Capcom,Capcom,Não,2015,2015,2015,2015,Não definido
Resident Evil 2 Remake,Capcom,Capcom,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Resident Evil 4,Capcom,Capcom,Não,2016,2016,2016,2016,Não definido
Resident Evil 5,Capcom,Capcom,Não,2016,2016,2016,2016,Não definido
Resident Evil 6,Capcom,Capcom,Não,2016,2016,2016,2016,Não definido
Resident Evil 7: Biohazard,Capcom,Capcom,Não,2017,2017,2017,2017,[204]
Resident Evil Origins Collection (R.E 0 e R.E 1),Capcom,Capcom,Não,2016,2016,2016,2016,Não definido
Resogun,Housemarque,Sony Computer Entertainment,Sim,2013,2014,2013,2013,[205]
Ride,Milestone S.r.l.,Milestone S.r.l.,Não,2015,2015,2015,2015,Não definido
Ride 2,Milestone S.r.l.,Milestone S.r.l.,Não,2017,2017,2017,2017,Não definido
Ride 3,Milestone S.r.l.,Milestone S.r.l.,Não,2019,2019,2019,2019,Não definido
Rime,Tequila Works,Sony Computer Entertainment,Sim,Não definido,Não definido,Não definido,Não definido,[206]
Road Not Taken,Spry Fox,Spry Fox,Console,Não definido,Não definido,Não definido,Não definido,[207]
Rocketbirds 2: Evolution,Ratloop,Não definido,Sony,Não definido,Não definido,Não definido,Não definido,[208]
Rogue Legacy,Cellar Door Games,Cellar Door Games,Console,2014,2014,2014,2014,[209]
Rugby 15,HB Studios,Bigben Interactive,Não,2014,2014,2014,2014,Não definido
Rygar,Tecmo,Hamster Corporation,Não,Não definido,2014,Não definido,Não definido,[55]
Ryû ga Gotoku Ishin!,Sega,Sega,Sony,Não definido,2014,Não definido,Não definido,[210]
Samurai Gunn,Maxistentialism,Teknopants,Console,2014,2014,Não definido,Não definido,[211]
Savant Ascent,DPad Studios,DPad Studios,Console,Não definido,Não definido,Não definido,Não definido,[212]
Scivelation,Black Wing Foundation,TopWare Interactive,Não,2014,2014,2014,2014,Não definido
Secret Ponchos,Switchblade Monkeys,Switchblade Monkeys,Console,2014,2014,2014,2014,[213]
Shadow of the Beast,Heavy Spectrum,Sony Computer Entertainment,Sim,Não definido,Não definido,Não definido,Não definido,[214]
Shadow Warrior,Flying Wild Hog,Devolver Digital,Não,2014,2014,2014,2014,[215]
Shantae: Half-Genie Hero,WayForward Technologies,Não definido,Não,2014,2014,2014,2014,[216]
Sherlock Holmes: Crimes e Punishments,Frogwares,Focus Home Interactive,Não,2014,2014,2014,2014,[217]
Skulls of the Shogun: Bone-A-Fide Edition,17-BIT,17-BIT,Console,2014,2014,2014,2014,[218]
Skylanders: Swap Force,Vicarious Visions,Activision,Não,2013,2014,2013,2013,[219]
Skylanders: Trap Team,Beenox,Activision,Não,2014,Não definido,2014,2014,Não definido
Sleeping Dogs: Triad Wars,United Front Games,Square Enix,Não,2014,2014,2014,2014,[carece de fontes?]
Sniper Elite 3,Rebellion Developments,505 Games,Não,2014,2014,2014,2014,[220]
Sniper: Ghost Warrior 3,CI Games,CI Games,Não,2017,2017,2017,2017,[221]
SOMA,Frictional Games,Frictional Games,Console,2015,2015,2015,2015,[222]
Soul Saga: Episode 1,Disastercake,Disastercake,Não,2014,2014,2014,2014,[223]
Sound Shapes,Queasy Games,Sony Computer Entertainment,Sony,2013,2014,2013,2013,[89]
Source,Fire Fenix,Fire Fenix,Não,2015,2015,2015,2015,[224]
Spelunky,Mossmouth,Mossmouth,Console,2014,2014,2014,2014,[225]
Sportsfriends,Die Gute Fabrik,Die Gute Fabrik,Console,2014,2014,2014,2014,[226]
Star Wars: Battlefront,DICE,Electronic Arts / LucasArts,Não,2015,Não definido,2015,2015,[227]
Star Wars: Battlefront II,DICE,Electronic Arts / LucasArts,Não,2017,2017,2017,2017,Não definido
Starbound,Chucklefish,Chucklefish,Console,Não definido,Não definido,Não definido,Não definido,[228]
Starwhal: Just the Tip,Breakfall,Breakfall,Não,Não definido,Não definido,Não definido,Não definido,[229]
Steamworld Dig,Image & Form,Image & Form,Console,2014,2014,2014,2014,[230]
Stealth Inc: Ultimate Edition,Curve Studios,Curve Studios,Console,2014,Não definido,2014,2014,[231]
Street Fighter V,Capcom,Capcom,Console,2016,2016,2016,2016,[232][233][234]
Strider,Double Helix Games,Capcom,Não,2014,2014,2014,2014,[235]
Strike Suit Zero,Born Ready Games,Born Ready Games,Não,2014,Não definido,2014,2014,[236]
Super Exploding Zoo,Honeyslug,Não definido,Sony,2014,2014,Não definido,Não definido,[237][238]
Super Motherload,XGen Studios,XGen Studios,Console,2013,2014,2013,2013,[239]
Switch Galaxy Ultra,Atomicom,Atomicom,Sony,Não definido,Não definido,Não definido,Não definido,[240]
Tekken 7,Bandai Namco Entertainment,Bandai Namco Entertainment,Não,2017,2017,2017,2017,[241]
The Amazing Spider-Man 2,Beenox,Activision,Não,2014,Não definido,2014,2014,[242]
The Binding of Isaac: Rebirth,Nicalis,Nicalis,Não,2014,2014,2014,2014,[243]
The Crew,Ivory Tower,Ubisoft,Não,2014,2014,2014,2014,[244]
The Crew 2,Ivory Tower,Ubisoft,Não,2018,2018,2018,2018,Não definido
The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,Não,2014,2014,2014,2014,[245]
The Evil Within,Tango Gameworks,Bethesda Softworks,Não,2014,2014,2014,2014,[246]
The Evil Within 2,Tango Gameworks,Bethesda Softworks,Não,2017,2017,2017,2017,Não definido
The Idolmaster,Bandai Namco Games,Bandai Namco Games,Sim,Não definido,Não definido,2014,2014,[167]
The Last Guardian,Team ICO / SCE Japan Studio,Sony Computer Entertainment,Sim,2016,2016,2016,2016,Não definido
The Last of Us Remastered,Naughty Dog,Sony Computer Entertainment,Sim,2014,2014,2014,2014,[247]
The Legend of el Lobodestroyo vs. la Liga de los Villanos,Lefhanded Studios,Lefhanded Studios,Não,2014,Não definido,2014,2014,[248]
The Lego Movie Videogame,TT Games,Warner Bros. Interactive Entertainment,Não,2014,Não definido,2014,2014,[249]
The Order: 1886,Ready at DawnSCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,2015,2015,2015,[250][251]
The Pinball Arcade,FarSight Studios,FarSight Studios,Não,2013,2014,2013,2013,[252]
The Swapper,Facepalm Games,Curve Studios,Console,2014,2014,2014,2014,[253]
The Witcher 3: Wild Hunt,CD Projekt RED,CD Projekt RED,Não,2015,2015,2015,2015,[254]
The Witness,"Thekla, Inc.","Thekla, Inc.",Timed,2016,2016,2016,2016,[255][256]
Thief,Eidos Montreal,Square Enix,Não,2014,2014,2014,2014,[257][258]
Tiny Brains,Spearhead Games,Spearhead Games,Console,2013,2014,2013,2013,[259]
Tiny Troopers: Joint Ops,Kukouri Mobile Entertainment,Wired Productions,Console,Não definido,Não definido,Não definido,Não definido,[260]
Titan Attacks,Puppygames,Puppygames,Console,2014,Não definido,2014,2014,[170]
To Leave,Freaky Creations,Freaky Creations,Console,Não definido,Não definido,Não definido,Não definido,[261]
Tomb Raider: Definitive Edition,Crystal Dynamics,Square Enix,Não,2014,Não definido,2014,2014,[262]
Tom Clancy's The Division,Ubisoft Massive,Ubisoft,Não,2015,2015,2015,2015,[263]
Tom Clancy's Rainbow 6: Patriots,Ubisoft MontrealUbisoft Red StormUbisoft Toronto,Ubisoft,Não,Não definido,Não definido,Não definido,Não definido,[264]
Tom Clancy's Rainbow Six: Siege,Ubisoft MontrealUbisoft Red StormUbisoft Toronto,Ubisoft,Não,Não definido,Não definido,Não definido,Não definido,[265]
Tottemo E Mahjong Plus,Arc System Works,Arc System Works,Sim,Não definido,2014,Não definido,Não definido,[266]
Towerfall: Ascension,Matt Thorson,Matt Thorson,Não,2014,Não definido,2014,2014,[267]
Transformers: Rise of the Dark Spark,Edge of Reality,Activision,Não,2014,2014,2014,2014,[268]
Transistor,Supergiant Games,Supergiant Games,Console,2014,2014,2014,2014,[269]
Trials Fusion,RedLynx,Ubisoft,Não,2014,2014,2014,2014,[270]
Trine 2: Complete Story,Frozenbyte,Atlus,Não,2013,2014,2013,2013,[271]
Uncharted: The Nathan Drake Collection,Naughty Dog,Sony Computer Entertainment,Sim,2015,2015,2015,2015,Não definido
Uncharted 4: A Thief's End,Naughty Dog,Sony Computer Entertainment,Sim,2016,2016,2016,2016,[272]
Until Dawn,Não definido,Não definido,Não definido,Não definido,Não definido,Não definido,Não definido,Não definido
Valiant Hearts: The Great War,Ubisoft Montpellier,Ubisoft,Não,2014,2014,2014,2014,[273]
Velocity 2X,FuturLab,FuturLab,Sim,2014,2014,2014,2014,[274]
Volume,Mike Bithell Games,Não definido,Console,2014,2014,2014,2014,[275]
"Warhammer 40,000: Eternal Crusade",Behaviour Interactive,Behaviour Interactive,Não,2015,2015,2015,2015,[276]
Watch Dogs,Ubisoft MontrealUbisoft ReflectionsUbisoft Romania,Ubisoft,Não,2014,2014,2014,2014,[277]
Watch Dogs 2,Não definido,Ubisoft,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Whore of the Orient,Team Bondi,Não definido,Não,2015,2015,2015,2015,[278][279][280]
Without Memory,Dinosaurum Games,Dinosaurum Games,Sim,2016,2016,2016,2016,[281]
Wolfenstein: The New Order,MachineGames,Bethesda Softworks,Não,2014,2014,2014,2014,[282]
WonderFlick,Level-5,Level-5,Não,2014,2014,2014,2014,[283]
WRC 5,Kylotonn Games,Bigben Interactive,Não,2015,2015,2015,2015,Não definido
WRC 6,Kylotonn Games,Bigben Interactive,Não,2016,2016,2016,2016,Não definido
WRC 7,Kylotonn Games,Bigben Interactive,Não,2017,2017,2017,2017,Não definido
WRC 8,Kylotonn Games,Bigben Interactive,Não,Não definido,Não definido,Não definido,Não definido,Não definido
Worms Battlegrounds,Team17,Team17,Não,2014,2014,2014,2014,Não definido
WWE 2K15,Yuke's/Visual Concepts,2K Sports,Não,2014,2014,2014,2014,[284]
WWE 2K16,Yuke's/Visual Concepts,2K Sports,Não,2015,2015,2015,2015,Não definido
WWE 2K17,Yuke's/Visual Concepts,2K Sports,Não,2016,2016,2016,2016,Não definido
WWE 2K18,Yuke's/Visual Concepts,2K Sports,Não,2017,2017,2017,2017,Não definido
WWE 2K19,Yuke's/Visual Concepts,2K Sports,Não,2018,2018,2018,2018,Não definido
WWE 2K20,Yuke's/Visual Concepts,2K Sports,Não,2019,2019,2019,2019,Não definido
